bundesliga,premierLeague,laliga,seriea,superlig,ligue1,eredivisie,liganos
1. FC Nürnberg,Arsenal,Athletic Club de Bilbao,Atalanta,Akhisar Belediyespor,Amiens SC,ADO Den Haag,Os Belenenses
1. FSV Mainz 05,Bournemouth,Atlético Madrid,Bologna,Alanyaspor,Angers SCO,Ajax,Boavista FC
Bayer 04 Leverkusen,Brighton & Hove Albion,CD Leganés,Cagliari,Antalyaspor,AS Monaco,AZ Alkmaar,CD Feirense
FC Bayern München,Burnley,Deportivo Alavés,Chievo Verona,Medipol Başakşehir FK,AS Saint-Étienne,De Graafschap,CD Tondela
Borussia Dortmund,Cardiff City,FC Barcelona,Empoli,BB Erzurumspor,Dijon FCO,Excelsior,CD Aves
Borussia Mönchengladbach,Chelsea,Getafe CF,Fiorentina,Beşiktaş JK,En Avant de Guingamp,FC Emmen,FC Porto
Eintracht Frankfurt,Crystal Palace,Girona FC,Frosinone,Bursaspor,FC Nantes,FC Groningen,CD Nacional
FC Augsburg,Everton,Levante UD,"Genoa""Inter",Çaykur Rizespor,FC Girondins de Bordeaux,FC Utrecht,GD Chaves
FC Schalke 04,Fulham,Rayo Vallecano,Juventus,Fenerbahçe SK,LOSC Lille,Feyenoord,Clube Sport Marítimo
Fortuna Düsseldorf,Huddersfield Town,RC Celta,Lazio,Galatasaray SK,Montpellier HSC,Fortuna Sittard,Moreirense FC
Hannover 96,Leicester City,RCD Espanyol,Milan,Göztepe SK,Nîmes Olympique,Heracles Almelo,Portimonense SC
Hertha BSC,Liverpool,Real Betis,Napoli,Kasimpaşa SK,OGC Nice,NAC Breda,Rio Ave FC
RB Leipzig,Manchester City,Real Madrid,Parma,Kayserispor,Olympique Lyonnais,PEC Zwolle,Santa Clara
SC Freiburg,Manchester United,Real Sociedad,Roma,Atiker Konyaspor,Olympique de Marseille,PSV,SC Braga
TSG 1899 Hoffenheim,Newcastle United,Real Valladolid CF,Sampdoria,MKE Ankaragücü,Paris Saint-Germain,SC Heerenveen,SL Benfica
VfB Stuttgart,Southampton,SD Eibar,Sassuolo,Sivasspor,RC Strasbourg Alsace,Vitesse,Sporting CP
VfL Wolfsburg,Tottenham Hotspur,SD Huesca,SPAL,Trabzonspor,Stade Malherbe Caen,VVV-Venlo,Vitória Guimarães
SV Werder Bremen,Watford,Sevilla FC,Torino,Yeni Malatyaspor,Stade de Reims,Willem II,Vitória de Setúbal
